,ZCTA,Estimate  HOUSEHOLDS BY TYPE  Total households,Percent  COMPUTERS AND INTERNET USE  Total households  With a computer,Estimate  HOUSEHOLDS BY TYPE  Total households  Married-couple household  With children of the householder under 18 years
0,89010,171,94.2,31
1,89019,1122,89,37
2,89060,4883,89.2,689
3,89061,3087,98,183
4,89439,775,90.1,104
5,90001,13421,94.7,3214
6,90002,13011,90.9,2533
7,90003,17759,94,3691
8,90004,22231,95.3,3683
9,90005,15993,92.7,1684
10,90006,18850,92.4,2528
11,90007,12211,91.4,933
12,90008,14425,92.4,1049
13,90010,2247,95.5,121
14,90011,24603,91.8,5610
15,90012,14361,89.4,1082
16,90013,7724,84.1,64
17,90014,5803,80.5,80
18,90015,11746,94.1,808
19,90016,17387,93.3,2283
20,90017,12996,90.3,1167
21,90018,16394,92.6,2324
22,90019,23584,93.8,2914
23,90020,16881,97.2,2112
24,90021,1454,88.6,149
25,90022,17266,89,3160
26,90023,11832,89,2604
27,90024,16359,96.7,1440
28,90025,21470,97.3,2329
29,90026,25968,95.3,2539
30,90027,21133,94.3,2374
31,90028,16833,94.9,518
32,90029,13218,90.3,1474
33,90031,11868,90.1,1644
34,90032,13314,92.7,2096
35,90033,13240,88.1,2052
36,90034,24938,97.7,2844
37,90035,11310,95.9,1880
38,90036,18990,98.6,2289
39,90037,17772,91.4,3175
40,90038,12595,93.9,1284
41,90039,11992,97,1835
42,90040,3424,87.1,699
43,90041,10001,95.6,1902
44,90042,20844,94.4,3197
45,90043,17052,93.5,2278
46,90044,28202,93.4,4999
47,90045,15666,97.1,2834
48,90046,28249,95.1,1625
49,90047,16853,93.8,2055
50,90048,11474,95.7,925
51,90049,16116,98.8,2663
52,90052,0,-,0
53,90056,3556,96.5,477
54,90057,17179,91.7,2149
55,90058,979,90.8,85
56,90059,10162,92.2,1902
57,90061,7844,91.1,1473
58,90062,9796,93,1494
59,90063,13616,86.2,2770
60,90064,11144,97.1,2007
61,90065,16180,95.4,2777
62,90066,24647,96.2,3647
63,90067,1531,96.8,91
64,90068,11528,98.4,1103
65,90069,12844,97.8,487
66,90071,10,50,0
67,90073,0,-,0
68,90077,2899,99.8,699
69,90079,0,-,0
70,90089,5,100,0
71,90094,5560,99.5,1056
72,90095,0,-,0
73,90201,23847,91.5,5458
74,90210,7947,95.7,1647
75,90211,3801,93.8,645
76,90212,5503,97.3,704
77,90220,13704,92.1,2913
78,90221,12531,92.3,2846
79,90222,8511,93.4,1825
80,90230,13792,95.9,2787
81,90232,7101,96.5,1330
82,90240,7670,96.6,2134
83,90241,14098,95.6,2947
84,90242,12729,94.6,2628
85,90245,7070,98.5,1437
86,90247,16082,93.4,2814
87,90248,3857,90.7,531
88,90249,8869,94,1526
89,90250,31962,95.7,6725
90,90254,8926,98.2,1339
91,90255,18168,92.9,4073
92,90260,10281,95.8,2142
93,90262,15026,95.7,3659
94,90263,0,-,0
95,90265,6463,97.4,1097
96,90266,13422,98.2,4088
97,90270,6320,90.4,1722
98,90272,8074,97.6,2182
99,90274,8962,98.1,2347
100,90275,15397,97.8,4079
101,90277,16590,98.4,3047
102,90278,15889,98,4428
103,90280,23824,92.2,5525
104,90290,2003,100,365
105,90291,13535,96.4,1192
106,90292,13048,99.2,1293
107,90293,6625,99.7,526
108,90301,12110,93.5,1723
109,90302,10456,97.8,1404
110,90303,6844,93.8,1184
111,90304,7067,95.8,1780
112,90305,5880,94.3,784
113,90401,4678,88,219
114,90402,4906,97.4,1123
115,90403,13164,95.3,1313
116,90404,10562,95.2,1250
117,90405,14247,95.6,1529
118,90501,14423,96.1,3760
119,90502,6342,93.3,1059
120,90503,17173,96,4034
121,90504,11662,96.3,2713
122,90505,14177,96.7,3728
123,90506,0,-,0
124,90601,10782,95.5,2041
125,90602,8032,89.7,1697
126,90603,6490,93.3,1521
127,90604,11781,93.4,3278
128,90605,11107,94.1,3170
129,90606,8692,96.4,2045
130,90620,13124,96.8,3243
131,90621,10744,96,2009
132,90623,4944,96.3,1194
133,90630,16118,96.4,4672
134,90631,21886,96.6,5159
135,90638,14803,96.6,3249
136,90639,0,-,0
137,90640,19191,90.9,2989
138,90650,26353,95.7,6715
139,90660,16996,91.6,3696
140,90670,5212,95,1054
141,90680,9667,94.1,2172
142,90701,4417,93.1,962
143,90703,15687,96.7,3586
144,90704,1543,98.3,205
145,90706,24018,94.7,5275
146,90710,9150,95,1605
147,90712,10247,96.3,2607
148,90713,9583,95.9,2252
